Temperature (K)	Pressure (bar)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
131.90	22.149	26.223	0.038134	-2.5301	-2.4456	74.897	17.944	65.347	467.71	0.035839	81.574	0.068074	0.0027411	2.8692	0.34853	0.99672	1.7687	106.85	17.450	50.711	184.51	1.4170	12.380	0.012077
132.00	22.252	26.196	0.038174	-2.5242	-2.4393	74.942	17.945	65.514	466.63	0.036324	81.350	0.067950	0.0027229	2.8845	0.34668	0.99493	1.7664	106.80	17.471	50.939	184.49	1.4141	12.400	0.012113
132.10	22.356	26.168	0.038215	-2.5184	-2.4330	74.987	17.946	65.683	465.55	0.036813	81.126	0.067826	0.0027047	2.9000	0.34483	0.99312	1.7640	106.76	17.492	51.170	184.47	1.4112	12.419	0.012149
132.20	22.460	26.140	0.038256	-2.5126	-2.4267	75.032	17.947	65.854	464.46	0.037305	80.903	0.067702	0.0026865	2.9155	0.34299	0.99130	1.7616	106.71	17.513	51.403	184.45	1.4083	12.438	0.012185
132.30	22.564	26.112	0.038297	-2.5067	-2.4203	75.077	17.948	66.027	463.37	0.037801	80.679	0.067579	0.0026684	2.9312	0.34116	0.98946	1.7592	106.67	17.534	51.639	184.43	1.4054	12.457	0.012222
132.40	22.668	26.083	0.038338	-2.5009	-2.4140	75.122	17.949	66.202	462.28	0.038302	80.456	0.067455	0.0026502	2.9469	0.33934	0.98760	1.7568	106.62	17.555	51.878	184.41	1.4025	12.477	0.012259
132.50	22.773	26.055	0.038380	-2.4950	-2.4076	75.167	17.950	66.378	461.19	0.038805	80.233	0.067331	0.0026321	2.9627	0.33753	0.98573	1.7544	106.58	17.576	52.120	184.38	1.3996	12.496	0.012296
132.60	22.878	26.027	0.038422	-2.4891	-2.4012	75.212	17.951	66.557	460.09	0.039313	80.010	0.067207	0.0026141	2.9786	0.33573	0.98385	1.7519	106.53	17.597	52.364	184.36	1.3967	12.516	0.012333
132.70	22.984	25.998	0.038464	-2.4833	-2.3948	75.257	17.953	66.738	458.99	0.039825	79.787	0.067084	0.0025960	2.9946	0.33393	0.98194	1.7495	106.49	17.619	52.611	184.34	1.3938	12.536	0.012371
132.80	23.090	25.970	0.038506	-2.4774	-2.3884	75.302	17.954	66.920	457.89	0.040341	79.564	0.066960	0.0025780	3.0107	0.33215	0.98003	1.7470	106.44	17.641	52.861	184.32	1.3909	12.556	0.012409
132.90	23.196	25.941	0.038548	-2.4715	-2.3820	75.347	17.956	67.105	456.79	0.040861	79.342	0.066836	0.0025600	3.0269	0.33037	0.97810	1.7444	106.40	17.662	53.114	184.29	1.3880	12.576	0.012448
133.00	23.303	25.913	0.038591	-2.4655	-2.3756	75.392	17.957	67.291	455.69	0.041386	79.119	0.066713	0.0025420	3.0431	0.32861	0.97615	1.7419	106.35	17.684	53.370	184.27	1.3851	12.596	0.012487
133.10	23.409	25.884	0.038634	-2.4596	-2.3692	75.438	17.959	67.480	454.58	0.041914	78.897	0.066589	0.0025240	3.0595	0.32685	0.97418	1.7393	106.31	17.706	53.629	184.25	1.3822	12.616	0.012526
133.20	23.517	25.855	0.038677	-2.4537	-2.3627	75.483	17.961	67.671	453.47	0.042447	78.675	0.066466	0.0025061	3.0760	0.32510	0.97220	1.7367	106.26	17.728	53.891	184.22	1.3793	12.636	0.012565
133.30	23.624	25.826	0.038721	-2.4477	-2.3563	75.528	17.963	67.864	452.36	0.042984	78.453	0.066342	0.0024882	3.0925	0.32336	0.97020	1.7341	106.21	17.751	54.156	184.20	1.3763	12.656	0.012605
133.40	23.732	25.797	0.038764	-2.4418	-2.3498	75.574	17.965	68.059	451.25	0.043525	78.231	0.066218	0.0024703	3.1092	0.32163	0.96819	1.7315	106.17	17.773	54.425	184.18	1.3734	12.677	0.012645
133.50	23.841	25.768	0.038808	-2.4358	-2.3433	75.619	17.967	68.257	450.13	0.044071	78.009	0.066095	0.0024525	3.1259	0.31991	0.96616	1.7288	106.12	17.796	54.697	184.15	1.3705	12.697	0.012685
133.60	23.949	25.739	0.038852	-2.4298	-2.3368	75.665	17.969	68.457	449.01	0.044621	77.787	0.065971	0.0024347	3.1427	0.31819	0.96411	1.7262	106.08	17.818	54.972	184.12	1.3676	12.718	0.012726
133.70	24.058	25.709	0.038896	-2.4238	-2.3303	75.710	17.971	68.659	447.89	0.045176	77.565	0.065848	0.0024169	3.1597	0.31649	0.96205	1.7235	106.03	17.841	55.250	184.10	1.3646	12.739	0.012767
133.80	24.168	25.680	0.038941	-2.4178	-2.3237	75.756	17.974	68.863	446.77	0.045735	77.343	0.065724	0.0023991	3.1767	0.31479	0.95997	1.7207	105.98	17.864	55.532	184.07	1.3617	12.760	0.012809
133.90	24.278	25.651	0.038986	-2.4118	-2.3172	75.802	17.976	69.070	445.64	0.046299	77.122	0.065601	0.0023814	3.1939	0.31310	0.95787	1.7180	105.94	17.887	55.817	184.05	1.3588	12.780	0.012851
134.00	24.388	25.621	0.039031	-2.4058	-2.3106	75.848	17.979	69.280	444.51	0.046867	76.900	0.065477	0.0023636	3.2111	0.31142	0.95575	1.7152	105.89	17.910	56.106	184.02	1.3558	12.801	0.012893
134.10	24.498	25.591	0.039076	-2.3998	-2.3040	75.893	17.982	69.492	443.38	0.047441	76.679	0.065354	0.0023459	3.2284	0.30975	0.95362	1.7124	105.84	17.934	56.399	183.99	1.3529	12.823	0.012936
134.20	24.609	25.561	0.039121	-2.3937	-2.2974	75.939	17.984	69.706	442.25	0.048019	76.458	0.065230	0.0023283	3.2459	0.30808	0.95147	1.7096	105.80	17.958	56.695	183.97	1.3499	12.844	0.012979
134.30	24.720	25.532	0.039167	-2.3877	-2.2908	75.985	17.987	69.923	441.12	0.048602	76.236	0.065107	0.0023106	3.2634	0.30643	0.94930	1.7068	105.75	17.981	56.995	183.94	1.3470	12.865	0.013022
134.40	24.832	25.502	0.039213	-2.3816	-2.2842	76.031	17.990	70.143	439.98	0.049190	76.015	0.064983	0.0022930	3.2811	0.30478	0.94711	1.7039	105.71	18.005	57.299	183.91	1.3440	12.887	0.013066
134.50	24.944	25.471	0.039260	-2.3755	-2.2776	76.077	17.993	70.365	438.84	0.049782	75.794	0.064860	0.0022754	3.2988	0.30314	0.94490	1.7010	105.66	18.029	57.607	183.88	1.3411	12.908	0.013110
134.60	25.056	25.441	0.039306	-2.3694	-2.2709	76.124	17.997	70.590	437.69	0.050380	75.573	0.064737	0.0022579	3.3167	0.30150	0.94268	1.6981	105.61	18.054	57.919	183.85	1.3381	12.930	0.013154
134.70	25.169	25.411	0.039353	-2.3633	-2.2643	76.170	18.000	70.818	436.55	0.050983	75.352	0.064613	0.0022403	3.3347	0.29988	0.94044	1.6952	105.56	18.078	58.235	183.82	1.3351	12.952	0.013199
134.80	25.282	25.381	0.039400	-2.3572	-2.2576	76.216	18.003	71.049	435.40	0.051591	75.131	0.064490	0.0022228	3.3528	0.29826	0.93818	1.6922	105.52	18.103	58.556	183.80	1.3322	12.974	0.013245
134.90	25.395	25.350	0.039448	-2.3511	-2.2509	76.263	18.007	71.282	434.25	0.052205	74.910	0.064366	0.0022054	3.3710	0.29665	0.93590	1.6892	105.47	18.127	58.880	183.77	1.3292	12.996	0.013291
135.00	25.509	25.320	0.039495	-2.3449	-2.2442	76.309	18.011	71.519	433.10	0.052823	74.689	0.064243	0.0021879	3.3893	0.29505	0.93360	1.6862	105.42	18.152	59.209	183.74	1.3262	13.018	0.013337
135.10	25.623	25.289	0.039543	-2.3388	-2.2374	76.355	18.014	71.758	431.94	0.053447	74.468	0.064119	0.0021705	3.4077	0.29345	0.93128	1.6832	105.38	18.177	59.542	183.70	1.3232	13.040	0.013384
135.20	25.737	25.258	0.039591	-2.3326	-2.2307	76.402	18.018	72.001	430.78	0.054077	74.247	0.063996	0.0021531	3.4262	0.29187	0.92894	1.6801	105.33	18.203	59.880	183.67	1.3202	13.063	0.013431
135.30	25.852	25.227	0.039640	-2.3264	-2.2239	76.449	18.022	72.246	429.62	0.054712	74.027	0.063872	0.0021357	3.4449	0.29029	0.92658	1.6770	105.28	18.228	60.223	183.64	1.3172	13.085	0.013478
135.40	25.967	25.196	0.039689	-2.3202	-2.2172	76.495	18.026	72.495	428.46	0.055353	73.806	0.063749	0.0021184	3.4636	0.28871	0.92421	1.6739	105.23	18.254	60.570	183.61	1.3143	13.108	0.013526
135.50	26.083	25.165	0.039738	-2.3140	-2.2104	76.542	18.031	72.747	427.29	0.055999	73.585	0.063626	0.0021011	3.4825	0.28715	0.92181	1.6708	105.19	18.280	60.922	183.58	1.3112	13.131	0.013575
135.60	26.199	25.134	0.039787	-2.3078	-2.2035	76.589	18.035	73.003	426.13	0.056651	73.365	0.063502	0.0020838	3.5015	0.28559	0.91939	1.6676	105.14	18.306	61.279	183.54	1.3082	13.154	0.013624
135.70	26.315	25.102	0.039837	-2.3016	-2.1967	76.636	18.039	73.261	424.95	0.057309	73.144	0.063379	0.0020666	3.5206	0.28404	0.91695	1.6644	105.09	18.333	61.641	183.51	1.3052	13.177	0.013673
135.80	26.432	25.071	0.039887	-2.2953	-2.1899	76.683	18.044	73.523	423.78	0.057972	72.923	0.063255	0.0020493	3.5399	0.28250	0.91450	1.6612	105.04	18.359	62.008	183.48	1.3022	13.200	0.013723
135.90	26.549	25.039	0.039937	-2.2890	-2.1830	76.730	18.049	73.789	422.60	0.058642	72.703	0.063132	0.0020322	3.5592	0.28096	0.91202	1.6579	104.99	18.386	62.380	183.44	1.2992	13.223	0.013773
136.00	26.666	25.007	0.039988	-2.2828	-2.1761	76.777	18.053	74.058	421.42	0.059318	72.482	0.063008	0.0020150	3.5787	0.27943	0.90952	1.6547	104.94	18.413	62.757	183.41	1.2962	13.247	0.013824
136.10	26.784	24.976	0.040039	-2.2765	-2.1692	76.824	18.058	74.331	420.24	0.060000	72.262	0.062885	0.0019979	3.5983	0.27791	0.90699	1.6513	104.90	18.440	63.141	183.37	1.2931	13.270	0.013876
136.20	26.903	24.944	0.040090	-2.2702	-2.1623	76.872	18.063	74.608	419.06	0.060688	72.041	0.062761	0.0019808	3.6181	0.27639	0.90445	1.6480	104.85	18.468	63.529	183.34	1.2901	13.294	0.013928
136.30	27.021	24.911	0.040142	-2.2639	-2.1554	76.919	18.069	74.888	417.87	0.061382	71.821	0.062638	0.0019637	3.6379	0.27488	0.90189	1.6446	104.80	18.495	63.924	183.30	1.2870	13.318	0.013980
136.40	27.140	24.879	0.040194	-2.2575	-2.1484	76.967	18.074	75.172	416.68	0.062083	71.600	0.062514	0.0019466	3.6579	0.27338	0.89930	1.6413	104.75	18.523	64.324	183.26	1.2840	13.342	0.014033
136.50	27.259	24.847	0.040246	-2.2512	-2.1415	77.014	18.079	75.461	415.48	0.062790	71.379	0.062391	0.0019296	3.6780	0.27188	0.89669	1.6378	104.70	18.552	64.730	183.23	1.2809	13.366	0.014087
136.60	27.379	24.814	0.040299	-2.2448	-2.1345	77.062	18.085	75.753	414.29	0.063504	71.159	0.062267	0.0019126	3.6983	0.27040	0.89406	1.6344	104.65	18.580	65.142	183.19	1.2778	13.390	0.014141
136.70	27.499	24.782	0.040352	-2.2384	-2.1275	77.109	18.091	76.049	413.09	0.064225	70.938	0.062144	0.0018957	3.7187	0.26891	0.89141	1.6309	104.60	18.609	65.560	183.15	1.2748	13.415	0.014195
136.80	27.620	24.749	0.040405	-2.2320	-2.1204	77.157	18.097	76.350	411.88	0.064952	70.717	0.062020	0.0018787	3.7392	0.26744	0.88873	1.6274	104.55	18.638	65.985	183.11	1.2717	13.439	0.014251
136.90	27.741	24.716	0.040459	-2.2256	-2.1134	77.205	18.103	76.654	410.68	0.065686	70.497	0.061896	0.0018618	3.7598	0.26597	0.88603	1.6238	104.50	18.667	66.416	183.07	1.2686	13.464	0.014307
137.00	27.862	24.683	0.040513	-2.2192	-2.1063	77.253	18.109	76.964	409.47	0.066427	70.276	0.061773	0.0018450	3.7806	0.26451	0.88331	1.6203	104.45	18.697	66.854	183.03	1.2655	13.489	0.014363
137.10	27.983	24.650	0.040568	-2.2128	-2.0992	77.301	18.115	77.277	408.26	0.067176	70.055	0.061649	0.0018281	3.8016	0.26305	0.88056	1.6167	104.40	18.726	67.299	182.99	1.2624	13.514	0.014420
137.20	28.105	24.617	0.040622	-2.2063	-2.0921	77.350	18.121	77.595	407.05	0.067931	69.835	0.061526	0.0018113	3.8226	0.26160	0.87779	1.6130	104.36	18.756	67.751	182.95	1.2593	13.539	0.014478
137.30	28.228	24.584	0.040678	-2.1998	-2.0850	77.398	18.128	77.918	405.83	0.068694	69.614	0.061402	0.0017946	3.8438	0.26016	0.87500	1.6094	104.31	18.787	68.209	182.91	1.2562	13.565	0.014536
137.40	28.351	24.550	0.040733	-2.1933	-2.0779	77.446	18.135	78.246	404.61	0.069464	69.393	0.061278	0.0017778	3.8652	0.25872	0.87218	1.6057	104.25	18.817	68.676	182.87	1.2531	13.590	0.014595
137.50	28.474	24.516	0.040789	-2.1868	-2.0707	77.495	18.141	78.579	403.38	0.070241	69.172	0.061155	0.0017611	3.8867	0.25729	0.86934	1.6019	104.20	18.848	69.149	182.82	1.2499	13.616	0.014654
137.60	28.597	24.483	0.040845	-2.1803	-2.0635	77.543	18.148	78.916	402.16	0.071027	68.951	0.061031	0.0017444	3.9084	0.25586	0.86647	1.5982	104.15	18.880	69.630	182.78	1.2468	13.642	0.014714
137.70	28.721	24.449	0.040902	-2.1738	-2.0563	77.592	18.156	79.259	400.93	0.071820	68.730	0.060907	0.0017278	3.9302	0.25444	0.86357	1.5944	104.10	18.911	70.119	182.73	1.2436	13.668	0.014775
137.80	28.846	24.415	0.040959	-2.1672	-2.0491	77.641	18.163	79.607	399.69	0.072620	68.509	0.060783	0.0017112	3.9521	0.25303	0.86065	1.5905	104.05	18.943	70.616	182.69	1.2405	13.694	0.014837
137.90	28.970	24.380	0.041017	-2.1606	-2.0418	77.690	18.170	79.960	398.46	0.073429	68.288	0.060660	0.0016946	3.9742	0.25162	0.85771	1.5867	104.00	18.975	71.121	182.64	1.2373	13.720	0.014899
138.00	29.096	24.346	0.041075	-2.1541	-2.0345	77.739	18.178	80.319	397.21	0.074246	68.067	0.060536	0.0016781	3.9965	0.25022	0.85474	1.5828	103.95	19.008	71.635	182.60	1.2341	13.747	0.014962
138.10	29.221	24.311	0.041133	-2.1474	-2.0272	77.788	18.186	80.683	395.97	0.075071	67.845	0.060412	0.0016615	4.0189	0.24883	0.85174	1.5788	103.90	19.041	72.157	182.55	1.2310	13.773	0.015025
138.20	29.347	24.277	0.041192	-2.1408	-2.0199	77.837	18.194	81.053	394.72	0.075905	67.624	0.060288	0.0016451	4.0414	0.24744	0.84872	1.5749	103.85	19.074	72.687	182.50	1.2278	13.800	0.015090
138.30	29.473	24.242	0.041251	-2.1342	-2.0126	77.886	18.202	81.429	393.47	0.076746	67.403	0.060165	0.0016286	4.0642	0.24605	0.84567	1.5709	103.80	19.107	73.227	182.45	1.2246	13.827	0.015155
138.40	29.600	24.207	0.041311	-2.1275	-2.0052	77.936	18.210	81.811	392.22	0.077597	67.181	0.060041	0.0016122	4.0871	0.24467	0.84259	1.5668	103.75	19.141	73.776	182.40	1.2214	13.855	0.015221
138.50	29.727	24.172	0.041371	-2.1208	-1.9978	77.985	18.219	82.199	390.96	0.078456	66.959	0.059917	0.0015958	4.1101	0.24330	0.83948	1.5627	103.69	19.175	74.335	182.35	1.2181	13.882	0.015287
138.60	29.855	24.136	0.041431	-2.1141	-1.9904	78.035	18.227	82.593	389.70	0.079324	66.738	0.059793	0.0015794	4.1334	0.24193	0.83635	1.5586	103.64	19.210	74.903	182.30	1.2149	13.910	0.015355
138.70	29.983	24.101	0.041492	-2.1074	-1.9830	78.085	18.236	82.994	388.44	0.080202	66.516	0.059669	0.0015631	4.1567	0.24057	0.83319	1.5545	103.59	19.245	75.482	182.25	1.2117	13.938	0.015423
138.80	30.111	24.065	0.041554	-2.1007	-1.9755	78.135	18.245	83.401	387.17	0.081088	66.294	0.059545	0.0015468	4.1803	0.23922	0.83000	1.5503	103.54	19.280	76.070	182.20	1.2084	13.966	0.015492
138.90	30.240	24.029	0.041616	-2.0939	-1.9681	78.185	18.254	83.816	385.89	0.081984	66.072	0.059421	0.0015306	4.2041	0.23787	0.82678	1.5461	103.48	19.316	76.669	182.14	1.2052	13.994	0.015562
139.00	30.369	23.993	0.041678	-2.0871	-1.9605	78.235	18.264	84.237	384.62	0.082889	65.850	0.059297	0.0015144	4.2280	0.23652	0.82353	1.5418	103.43	19.352	77.279	182.09	1.2019	14.022	0.015633
139.10	30.498	23.957	0.041741	-2.0803	-1.9530	78.285	18.273	84.665	383.34	0.083804	65.628	0.059173	0.0014982	4.2521	0.23518	0.82025	1.5375	103.38	19.389	77.900	182.04	1.1986	14.051	0.015704
139.20	30.628	23.921	0.041805	-2.0735	-1.9455	78.336	18.283	85.101	382.05	0.084729	65.405	0.059049	0.0014821	4.2763	0.23385	0.81694	1.5332	103.33	19.425	78.532	181.98	1.1953	14.080	0.015777
139.30	30.758	23.884	0.041869	-2.0666	-1.9379	78.386	18.293	85.544	380.76	0.085663	65.183	0.058925	0.0014659	4.3008	0.23252	0.81360	1.5288	103.27	19.463	79.176	181.92	1.1920	14.109	0.015850
139.40	30.889	23.848	0.041933	-2.0598	-1.9303	78.437	18.303	85.994	379.47	0.086608	64.960	0.058801	0.0014499	4.3254	0.23119	0.81023	1.5244	103.22	19.500	79.831	181.87	1.1887	14.138	0.015924
139.50	31.020	23.811	0.041998	-2.0529	-1.9226	78.488	18.314	86.453	378.18	0.087564	64.737	0.058677	0.0014338	4.3502	0.22987	0.80682	1.5199	103.17	19.539	80.499	181.81	1.1854	14.168	0.016000
139.60	31.152	23.774	0.042063	-2.0460	-1.9150	78.539	18.324	86.920	376.87	0.088529	64.514	0.058553	0.0014178	4.3753	0.22856	0.80339	1.5154	103.11	19.577	81.180	181.75	1.1821	14.197	0.016076
139.70	31.284	23.736	0.042129	-2.0391	-1.9073	78.590	18.335	87.395	375.57	0.089506	64.291	0.058429	0.0014019	4.4005	0.22725	0.79992	1.5108	103.06	19.616	81.874	181.69	1.1787	14.227	0.016153
139.80	31.416	23.699	0.042196	-2.0321	-1.8995	78.641	18.347	87.878	374.26	0.090493	64.068	0.058305	0.0013859	4.4259	0.22594	0.79642	1.5063	103.00	19.656	82.581	181.63	1.1754	14.257	0.016231
139.90	31.549	23.661	0.042263	-2.0251	-1.8918	78.692	18.358	88.371	372.95	0.091491	63.844	0.058181	0.0013700	4.4515	0.22464	0.79289	1.5016	102.95	19.696	83.301	181.56	1.1720	14.288	0.016310
140.00	31.682	23.623	0.042331	-2.0181	-1.8840	78.744	18.370	88.872	371.63	0.092501	63.621	0.058057	0.0013542	4.4773	0.22335	0.78932	1.4969	102.89	19.736	84.036	181.50	1.1686	14.318	0.016390
