Temperature (K)	Pressure (bar)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
115.40	9.3181	30.064	0.033263	-3.4011	-3.3701	67.794	18.562	50.766	624.39	-0.012590	123.16	0.089164	0.0060273	1.1565	0.86465	1.1470	1.9527	113.92	15.031	31.236	184.41	1.9139	9.9731	0.0084330
115.50	9.3737	30.044	0.033285	-3.3962	-3.3650	67.837	18.555	50.813	623.54	-0.012414	122.86	0.089031	0.0060060	1.1633	0.85959	1.1467	1.9525	113.88	15.041	31.297	184.43	1.9106	9.9848	0.0084473
115.60	9.4296	30.023	0.033307	-3.3913	-3.3599	67.880	18.549	50.859	622.69	-0.012238	122.57	0.088898	0.0059847	1.1702	0.85457	1.1465	1.9523	113.83	15.052	31.358	184.45	1.9073	9.9966	0.0084617
115.70	9.4856	30.003	0.033330	-3.3864	-3.3548	67.922	18.542	50.906	621.83	-0.012060	122.27	0.088766	0.0059634	1.1771	0.84958	1.1462	1.9521	113.79	15.062	31.419	184.47	1.9040	10.008	0.0084761
115.80	9.5419	29.983	0.033352	-3.3815	-3.3496	67.965	18.535	50.953	620.98	-0.011882	121.98	0.088634	0.0059421	1.1840	0.84462	1.1459	1.9519	113.75	15.073	31.480	184.48	1.9007	10.020	0.0084905
115.90	9.5985	29.963	0.033375	-3.3765	-3.3445	68.008	18.529	51.000	620.12	-0.011703	121.68	0.088501	0.0059208	1.1909	0.83970	1.1456	1.9516	113.70	15.083	31.542	184.50	1.8974	10.032	0.0085050
116.00	9.6553	29.943	0.033397	-3.3716	-3.3394	68.050	18.522	51.048	619.26	-0.011522	121.39	0.088369	0.0058995	1.1979	0.83482	1.1453	1.9514	113.66	15.094	31.605	184.52	1.8941	10.044	0.0085196
116.10	9.7123	29.922	0.033420	-3.3667	-3.3342	68.093	18.516	51.096	618.41	-0.011341	121.10	0.088237	0.0058783	1.2049	0.82996	1.1450	1.9511	113.62	15.105	31.667	184.54	1.8908	10.056	0.0085342
116.20	9.7696	29.902	0.033442	-3.3618	-3.3291	68.136	18.509	51.144	617.55	-0.011159	120.81	0.088105	0.0058570	1.2119	0.82514	1.1447	1.9509	113.57	15.116	31.731	184.56	1.8875	10.068	0.0085489
116.30	9.8271	29.882	0.033465	-3.3568	-3.3239	68.178	18.502	51.193	616.69	-0.010976	120.52	0.087972	0.0058358	1.2190	0.82036	1.1444	1.9506	113.53	15.126	31.794	184.58	1.8842	10.080	0.0085636
116.40	9.8849	29.862	0.033488	-3.3519	-3.3188	68.221	18.496	51.241	615.83	-0.010792	120.23	0.087840	0.0058146	1.2261	0.81560	1.1441	1.9503	113.49	15.137	31.858	184.59	1.8810	10.092	0.0085784
116.50	9.9429	29.841	0.033511	-3.3469	-3.3136	68.264	18.489	51.291	614.96	-0.010607	119.94	0.087708	0.0057934	1.2332	0.81088	1.1438	1.9500	113.45	15.148	31.923	184.61	1.8777	10.104	0.0085933
116.60	10.001	29.821	0.033534	-3.3420	-3.3085	68.306	18.483	51.340	614.10	-0.010421	119.65	0.087576	0.0057722	1.2404	0.80619	1.1435	1.9497	113.40	15.159	31.987	184.63	1.8744	10.116	0.0086082
116.70	10.060	29.800	0.033557	-3.3370	-3.3033	68.349	18.477	51.390	613.24	-0.010234	119.36	0.087445	0.0057511	1.2476	0.80154	1.1431	1.9494	113.36	15.170	32.052	184.65	1.8712	10.128	0.0086232
116.80	10.118	29.780	0.033580	-3.3321	-3.2981	68.391	18.470	51.440	612.37	-0.010046	119.07	0.087313	0.0057299	1.2548	0.79691	1.1428	1.9491	113.32	15.181	32.118	184.66	1.8679	10.140	0.0086382
116.90	10.177	29.759	0.033603	-3.3271	-3.2929	68.434	18.464	51.490	611.51	-0.0098567	118.79	0.087181	0.0057088	1.2621	0.79232	1.1424	1.9488	113.27	15.192	32.184	184.68	1.8647	10.152	0.0086533
117.00	10.237	29.739	0.033626	-3.3222	-3.2878	68.477	18.458	51.541	610.64	-0.0096667	118.50	0.087049	0.0056877	1.2694	0.78776	1.1421	1.9485	113.23	15.203	32.251	184.70	1.8615	10.164	0.0086685
117.10	10.296	29.718	0.033649	-3.3172	-3.2826	68.519	18.451	51.592	609.77	-0.0094757	118.22	0.086918	0.0056666	1.2768	0.78323	1.1417	1.9481	113.19	15.214	32.317	184.71	1.8582	10.176	0.0086837
