Run_ID,File_Location,Clone_Run_ID,Clone_Frame_ID,N_Cells,Therm_kT,Therm_Seed,Density_Start,Density_End,BoxLength_Start,BoxLength_End,dt,Nsteps,This_LJ_Time,Cumulative_LJ_Time,Ensemble,T_Set,P_Set,LJ_r_cut,LJ_r_on,LJ_Mode,Phase_Separation_Status,Phase_Separation_Method,Phase_Separation_Method_Version,rho_liquid,rho_liquid_unc,rho_gas,rho_gas_unc,V_liquid,V_liquid_unc,V_gas,V_gas_unc,Phase_Fit_Status,Phase_Fit_Method,Phase_Fit_Method_Version,Summary_Start_Step,Summary_End_Step,Summary_Num_Samples,Pressure_Mean,Pressure_Std,Pressure_SEM,PE_Per_Particle_Mean,PE_Per_Particle_Std,PE_Per_Particle_SEM,Num_Frames
20260915175433,Thermalization/20260915175433,,,40,0.88,1,0.6000000000000004,0.6000000000000003,75.28288231048226,75.28288231048226,0.002,100000,200,200,NVT,0.88,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.7007697891892543,0.00034716074653868125,0.023927771561781698,0.0004916990411896339,361969.7046040044,1037.4504506329765,64696.96852273212,1037.4504506329765,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.06878815369316203,0.06479178514782233,0.006479178514782233,-4.27303378732308,0.14459579332869,0.014459579332869,6
20260915175633,Thermalization/20260915175633,,,40,0.9,1,0.5000000000000003,0.5000000000000002,79.99999999999999,79.99999999999999,0.002,100000,200,200,NVT,0.9,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6886022198849266,0.0004042007133996501,0.027678606017634073,0.0003248057798059341,365254.2218893134,1552.480849390445,146745.7781106866,1552.4808493904445,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.032236545934381314,0.0399521711116942,0.00399521711116942,-4.0484082218229895,0.2081611559213542,0.02081611559213542,6
20260915175831,Thermalization/20260915175831,,,40,0.9,1,0.5200000000000005,0.5200000000000005,78.96092134994282,78.96092134994282,0.002,100000,200,200,NVT,0.9,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6875248082297938,0.0003991936288934518,0.026604481255017336,0.00036000312531110683,366393.4898699706,1448.0292865688264,125914.21910842923,1448.0292865688261,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.03805996115018479,0.04419206534325148,0.004419206534325148,-4.075526662352474,0.1917178618076445,0.019171786180764448,6
20260915180033,Thermalization/20260915180033,,,40,0.9,1,0.5400000000000005,0.5400000000000005,77.97380635234308,77.97380635234308,0.002,100000,200,200,NVT,0.9,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6864211809898766,0.0003861273977117321,0.02830268068284278,0.00043246921436532085,367031.0668258447,1320.7942947033266,107043.04256458921,1320.7942947033264,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.04466158703401049,0.045917346571201084,0.004591734657120108,-4.09462506313142,0.17049080683864937,0.017049080683864938,6
20260915180034,Thermalization/20260915180034,,,40,0.9,1,0.5600000000000004,0.5600000000000004,77.03427142216714,77.03427142216714,0.002,100000,200,200,NVT,0.9,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6850211284014872,0.0003835991772562575,0.02776265220578776,0.0005175798614319448,368033.30620308477,1199.893378614448,89109.54770085274,1199.893378614447,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.05488025980707979,0.04807854599419912,0.004807854599419912,-4.114973572152121,0.1545727136452134,0.015457271364521342,6
20260915180234,Thermalization/20260915180234,,,40,0.9,1,0.5800000000000003,0.5800000000000003,76.13844285242617,76.13844285242617,0.002,100000,200,200,NVT,0.9,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6853715161732195,0.00037011667810774626,0.02683606034574695,0.0005286197920840975,369123.7419797033,1102.167983351486,72255.57081272325,1102.1679833514863,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.05543962302241108,0.051814637907684105,0.005181463790768411,-4.155693770489067,0.14243119718953123,0.014243119718953123,6
20260915180432,Thermalization/20260915180432,,,40,0.9,1,0.6000000000000004,0.6000000000000003,75.28288231048226,75.28288231048226,0.002,100000,200,200,NVT,0.9,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6887117972596278,0.00034424231198330825,0.026654334037236955,0.0005455966963702526,368523.9632402075,1000.4700943179942,58142.70988652901,1000.4700943179945,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.05755236448040768,0.060875644795696536,0.006087564479569653,-4.202919650935839,0.13957381508749162,0.013957381508749162,6
20260915180633,Thermalization/20260915180633,,,40,0.92,1,0.5000000000000003,0.5000000000000002,79.99999999999999,79.99999999999999,0.002,100000,200,200,NVT,0.92,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6753063604387302,0.0004121305501587811,0.03143672460753674,0.0003828734438820267,371920.3209124659,1528.1454349689384,140079.67908753408,1528.1454349689377,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.026704821008356593,0.037155162954015906,0.0037155162954015906,-3.9483802446182197,0.19651653554733614,0.019651653554733615,6
20260915180644,Thermalization/20260915180644,,,40,0.92,1,0.5200000000000005,0.5200000000000005,78.96092134994282,78.96092134994282,0.002,100000,200,200,NVT,0.92,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6750165897259944,0.00040199378779247547,0.032323226296416575,0.00041403287731485325,372136.5318677121,1421.566191409767,120171.1771106877,1421.5661914097668,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.03200983765964933,0.04112383089349719,0.004112383089349719,-3.9828023458133375,0.18029850326402827,0.01802985032640283,6
20260915180831,Thermalization/20260915180831,,,40,0.92,1,0.5400000000000005,0.5400000000000005,77.97380635234308,77.97380635234308,0.002,100000,200,200,NVT,0.92,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6710495966594529,0.0003949198611204912,0.030926879989484898,0.0004972452786576414,374980.3860106974,1282.172319438674,99093.72337973646,1282.172319438674,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.040148996294537075,0.043277620721039155,0.0043277620721039155,-4.000524391080567,0.1607635649781582,0.01607635649781582,6
