Run_ID,N_Cells,Therm_kT,Nsteps,Nc,V,rho_c,uc,uc_uncertainty,rho_liquid,rho_liquid_uncertainty,u_EOS,u_EOS_uncertainty,u_EOS_mean_uncertainty,u_EOS_density_uncertainty,u_EOS_density_slope,P_EOS,P_EOS_uncertainty,P_EOS_mean_uncertainty,P_EOS_density_uncertainty,P_EOS_density_slope,Q,Q_uncertainty,Q_uncertainty_uc_component,Q_uncertainty_u_EOS_component,Q_uncertainty_P_EOS_component,Q_uncertainty_rho_liquid_component,T_K,T_C,P_bar,P_psia,Q_MD_keV,Q_MD_uncertainty_keV,rho_liquid_mol_L,rho_liquid_uncertainty_mol_L,Q_REFPROP_keV,Rc_REFPROP_nm,Pvap_REFPROP_psia,Pbub_REFPROP_psia,REFPROP_P_err_psia,REFPROP_G_err_J_kg,REFPROP_iterations,REFPROP_errID,superheat_margin_psia,Q_MD_over_REFPROP,Q_difference_keV,valid_REFPROP
20260922005924,30,1.0,500000,105456,178512.38300027035,0.5907489342060953,-3.817248131987711,0.0004949561437359,0.6123963272099194,0.0005638373832784,-3.855501884992396,0.0032629293145163,0.0001435026462562,0.0032597721856055,-5.781404855867217,0.0136559226759786,0.0012049806581752,0.0004952217755467,0.0010985143511127,1.9482822240792568,4120.259032418917,348.1215742620167,52.19609509381816,344.09547379163183,7.603638267471001,2.165115431506673,128.5995507884122,-144.5504492115878,6.400140152862778,92.82618506541915,0.0456601002429382,0.0038578606895383,26.842772844837,0.024824640574906,(0.13231310617855419+0j),5.856428235405771,274.61870054742565,259.0400057435556,-3.907864975423242e-12,0.00010443807709106062,29,,181.79251548200648,(0.3450912880944742+0j),(-0.08665300593561598+0j),True
20260921223127,30,1.0,500000,105457,177049.18335094882,0.5956367490888788,-3.82004372733496,0.0005824408047659,0.6126075721556826,0.0005629665421841,-3.8567231775476087,0.0032578954192763,0.000143409778764,0.0032547375006744,-5.781404855867217,0.0140674874487356,0.0012047915062039,0.000498511274974,0.0010968177068888,1.9482822240792568,3937.101908380217,349.07230707568897,61.42245994819839,343.5678772306241,5.909168444785229,2.225408859072025,128.5995507884122,-144.5504492115878,6.593028783688099,95.6237981355013,0.0436303801263111,0.0038683939791314,26.852032208163976,0.0247867155219303,(0.1372981650881872+0j),5.948249741408655,274.61870054742565,259.2718214788497,9.39866259911919e-13,7.129065158595188e-05,29,,178.99490241192433,(0.31777831916608+0j),(-0.09366778496187611+0j),True
20260918190731,30,1.0,500000,107457,183050.86316839192,0.5870335607275902,-3.819598943303845,0.0008353586199291,0.6149508981309464,0.0005540581219612,-3.870270893719879,0.0032063970496681,0.0001423796059192,0.0032032343167397,-5.781404855867217,0.0186329477915651,0.0012047671552585,0.0005350014708736,0.0010794615901239,1.9482822240792568,5599.897109589389,356.2038585523005,89.76513122173203,344.5498077661909,10.011714477254008,2.933531284884168,128.5995507884122,-144.5504492115878,8.732729391970313,126.65753175774896,0.0620572302280423,0.0039474506974837,26.954745702776183,0.0243988671671081,(0.21761713518906053+0j),7.1997643494615735,274.61870054742565,261.85908354283004,-9.975773460468614e-12,4.81616011826795e-05,23,,147.9611687896767,(0.2851670213107459+0j),(-0.15555990496101824+0j),True
20260918191538,30,1.0,500000,107460,186206.8975843049,0.5770999967997835,-3.811892732211668,0.0004573579985487,0.6151456499180317,0.0005789673596186,-3.87139620307833,0.0033477672211797,0.0001422865450012,0.0033447421285231,-5.777082374257607,0.0190354999647025,0.0013320701474303,0.0005350321805816,0.0012198981282947,2.1070240109881007,6613.466495414623,363.4301339186603,49.14769052404937,359.7510655879801,15.340868478923422,3.1297474199751902,128.5995507884122,-144.5504492115878,8.921394075276584,129.39388164847173,0.0732894560167165,0.0040275504069765,26.96328213212688,0.0254859172941602,(0.22781392337074152+0j),7.335779561731538,274.61870054742565,262.0886149542724,2.5722655534431467e-12,3.351219781190272e-05,23,,145.2248188989539,(0.3217075362748842+0j),(-0.15452446735402503+0j),True
20260918200708,30,1.0,500000,107483,184615.38654911728,0.5821995772351507,-3.8248637956713742,0.0007532476332429,0.6164573214804959,0.0005624063086063,-3.878973837742657,0.0032521535624416,0.0001416428686624,0.0032490675726212,-5.777082374257607,0.0217992234413449,0.0012974838322324,0.000528422910159,0.0011850035961648,2.1070240109881007,6039.55746960143,359.0682523562784,80.96131536385225,349.55122135191937,13.311457093898529,3.467567759344479,128.5995507884122,-144.5504492115878,10.21667217650539,148.18030223678787,0.0669294812086343,0.0039792015352115,27.020775784903464,0.0247636610485508,(0.32112031781738126+0j),8.428571744028998,274.61870054742565,263.6707248251348,1.2613994540923124e-11,2.6881911313727117e-05,20,,126.43839831063778,(0.2084249345028881+0j),(-0.254190836608747+0j),True
20260922211628,35,1.0,500000,149039,255970.1278054989,0.5822515356684456,-3.8254590240799975,0.0006386399754631,0.6157479154830978,0.0004756770887409,-3.874875540858896,0.0027516916304587,0.0001419909953339,0.0027480257252036,-5.777082374257607,0.0203044879712882,0.0011347037192725,0.0005319974757823,0.0010022630474541,2.1070240109881007,7647.721080236822,421.3234187099397,95.1822633030556,410.1093689119455,15.800349216066614,3.796630247354514,128.5995507884122,-144.5504492115878,9.516132438048428,138.01983233229691,0.0847509121164744,0.0046691261869719,26.989680849815137,0.0209821257132782,(0.2649462988739338+0j),7.800217988378201,274.61870054742565,262.81369245062166,-6.03493072153969e-12,4.707156445164205e-05,21,,136.59886821512873,(0.31987958494487373+0j),(-0.18019538675745939+0j),True
20260922231207,35,1.0,500000,149466,261832.07692511665,0.5708467875872478,-3.8147602019768856,0.0006387591391095,0.6161346337855098,0.0004857726619239,-3.8771096443475632,0.0028099289167939,0.0001418012211342,0.0028063486830968,-5.777082374257607,0.0211193127199588,0.0011526382841306,0.0005300488737761,0.0010235346625552,2.1070240109881007,9725.573203028656,431.29349338276,95.47277348614207,419.98883547751706,22.183084635497437,4.039280562445244,128.5995507884122,-144.5504492115878,9.898017479085356,143.55860658510022,0.1077773615387521,0.0047796608971928,27.00663162349773,0.0214220723072956,(0.2936153156084679+0j),8.130671796532523,274.61870054742565,263.28048651010744,6.925330336193087e-13,4.975014337056136e-05,20,,131.06009396232542,(0.3670699578984898+0j),(-0.18583795406971576+0j),True
20260922230758,35,1.0,500000,149837,265891.4667595646,0.5635269225675897,-3.8085326215064383,0.00042075290966,0.6170490489678858,0.000486871301249,-3.882392296180421,0.0028162452197545,0.0001413524903439,0.0028126956129776,-5.777082374257607,0.0230460074652371,0.0011525865722565,0.0005254413047842,0.0010258495219927,2.1070240109881007,11598.424925893398,427.5113010557111,63.04435372473196,421.97773499236393,26.582243230348,4.415598411832795,128.5995507884122,-144.5504492115878,10.801004168022631,156.65532126585745,0.12853202689676,0.0047378038530954,27.046712593836364,0.0214703204549353,(0.3822199262650279+0j),9.035500630774386,274.61870054742565,264.38806926863003,-2.869065424994279e-12,1.960554389418092e-05,19,,117.9633792815682,(0.33627767173927253+0j),(-0.25368789936826786+0j),True
20260922211146,35,1.0,500000,149398,259848.4676395496,0.5749427786014053,-3.821216716142796,0.0003850663092597,0.6170601799688554,0.0004747299099053,-3.8824566008899306,0.0027461937843242,0.0001413470280299,0.0027425537950473,-5.777082374257607,0.0230694607515464,0.0011298514664667,0.0005253852177288,0.0010002673189048,2.1070240109881007,9558.27486861211,414.7960854499536,57.52813647079519,410.27585899048137,20.03897759473644,4.297083357712848,128.5995507884122,-144.5504492115878,10.81199605212936,156.81474506657722,0.1059233861794768,0.0045968396275335,27.04720049181564,0.0209414333857482,(0.38352542235047915+0j),9.04775447544416,274.61870054742565,264.40158500304926,-9.89332905170441e-14,1.9174200982901508e-05,19,,117.80395548084843,(0.27618348095496065+0j),(-0.2776020361710023+0j),True
20260922205458,35,1.0,500000,149787,263846.13959868567,0.5677058615594244,-3.8148608700900586,0.0005887679629653,0.6172183668186257,0.0004849979828444,-3.883370459351578,0.0028054324128486,0.0001412694010269,0.0028018732982408,-5.777082374257607,0.023402764242235,0.0011486849983466,0.0005245881434479,0.0010219023951339,2.1070240109881007,10757.17508282405,430.0825857765284,88.18978686869431,420.2173048233613,24.31239561581054,4.462759985674202,128.5995507884122,-144.5504492115878,10.968205859731588,159.0803767813815,0.1192094207543612,0.0047662713533759,27.0541341938755,0.0213887772551885,(0.4027955724623195+0j),9.225553938422717,274.61870054742565,264.5937496402186,4.9796422893578865e-12,3.400888191157926e-05,18,,115.53832376604416,(0.295955141774834+0j),(-0.2835861517079583+0j),True
