temperature_K,temperature_C,pressure_fraction_of_Pvap,pressure_bar,pressure_psia,Pvap_bar_direct,Q_keV,Rc_nm,Pvap_psia,Pbub_psia,Rho_l_g_cc,Rho_b_g_cc,Sigma_N_m,P_err_psia,G_err_J_kg,iterations,errID,valid
125.0,-148.14999999999998,0.1,1.5823308932437055,22.94976935235865,15.823308932437053,0.13921898208515063,6.108850139166923,229.49769309663367,215.39194775651848,1.1011391875457277,0.0725450819137432,0.004052739813526672,-5.276442160909019e-13,0.0002760917467746232,51.0,,True
125.0,-148.14999999999998,0.25,3.955827233109263,57.37442338089662,15.823308932437053,0.21505520832732522,7.33381243866174,229.49769309663367,217.67309997758892,1.104117464225609,0.07359161844041329,0.004052739813526672,-9.63775138453538e-12,0.0001073059860875794,33.0,,True
125.0,-148.14999999999998,0.4,6.329323572974822,91.7990774094346,15.823308932437053,0.37152578887932364,9.17133352167782,229.49769309663367,219.98113790773945,1.1070136297360853,0.07466129032689112,0.004052739813526672,-3.644042867377791e-12,5.286885324909502e-05,24.0,,True
125.0,-148.14999999999998,0.55,8.70281991284038,126.22373143797257,15.823308932437053,0.7688262685388395,12.23397483040346,229.49769309663367,222.3168201211596,1.1098332486230016,0.0757551692034311,0.004052739813526672,-5.06208669812209e-12,2.380099459642663e-05,18.0,,True
125.0,-148.14999999999998,0.7,11.076316252705936,160.64838546651055,15.823308932437053,2.2279566937967075,18.35942099358526,229.49769309663367,224.68092923445343,1.112581290678075,0.07687439994828056,0.004052739813526672,-3.726487276141994e-12,1.2682519765200357e-05,13.0,,True
125.0,-148.14999999999998,0.85,13.449812592571494,195.0730394950485,15.823308932437053,14.973474047222707,36.73609612300295,229.49769309663367,227.07427404075503,1.1152622162004917,0.07802020838688911,0.004052739813526672,3.0999097695340484e-12,2.0860914322131237e-06,9.0,,True
130.0,-143.14999999999998,0.1,2.0254613312694523,29.376832989379,20.25461331269452,0.04767747186551814,3.7362762322526795,293.7683293472694,269.4263957877902,1.0370039480403317,0.09093165691380971,0.0030919245228262916,1.1377328409460072e-12,0.0003239484072334731,57.0,,True
130.0,-143.14999999999998,0.25,5.06365332817363,73.4420824734475,20.25461331269452,0.07216439617246788,4.4872072030931545,293.7683293472694,273.3195196972287,1.0429695958142777,0.09285012845406461,0.0030919245228262916,-1.3355994219800954e-12,0.00012285937455469632,37.0,,True
130.0,-143.14999999999998,0.4,8.101845325077809,117.507331957516,20.25461331269452,0.12178025397768945,5.613780625928741,293.7683293472694,277.273367684637,1.0485620530540571,0.09483499805451749,0.0030919245228262916,-2.803109897982916e-12,5.9223340738126806e-05,27.0,,True
130.0,-143.14999999999998,0.55,11.140037321981987,161.5725814415845,20.25461331269452,0.24511732889367188,7.491644496234729,293.7683293472694,281.29148648267727,1.0538360644569598,0.0968918822100712,0.0030919245228262916,2.0116435738465634e-12,3.33276032629397e-05,20.0,,True
130.0,-143.14999999999998,0.7,14.178229318886164,205.63783092565296,20.25461331269452,0.6866201758057339,11.247746339393279,293.7683293472694,285.3774915637262,1.0588343398366753,0.09902702174820684,0.0030919245228262916,5.903019667516965e-12,9.378577862694916e-06,15.0,,True
130.0,-143.14999999999998,0.85,17.216421315790342,249.70308040972148,20.25461331269452,4.418068866130921,22.51683052581099,293.7683293472694,289.5351284867475,1.0635909450785779,0.10124742308971568,0.0030919245228262916,-3.6275539856249503e-13,2.538835290214937e-06,10.0,,True
135.0,-138.14999999999998,0.1,2.550872135838774,36.99727245092845,25.50872135838774,0.015242134170585661,2.1779197178556102,369.9727238209948,328.40496185431124,0.9367742650691945,0.11103512593767545,0.002187922131918122,-1.228421690586631e-12,0.00033290033217959586,64.0,,True
