Temperature (K)	Pressure (bar)	Density (l, g/ml)	Volume (l, ml/g)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, g/ml)	Volume (v, ml/g)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
109.00	6.2276	1.2502	0.79987	-92.852	-92.354	1.6281	0.47672	1.2094	677.26	-0.022181	143.96	0.097768	0.0074235	0.031244	32.006	28.839	48.771	2.9228	0.36115	0.70152	182.71	2.1410	9.2592	0.0076149
109.10	6.2692	1.2495	0.80034	-92.733	-92.232	1.6292	0.47652	1.2102	676.45	-0.022054	143.61	0.097632	0.0074012	0.031444	31.802	28.841	48.779	2.9217	0.36136	0.70256	182.74	2.1372	9.2699	0.0076264
109.20	6.3110	1.2487	0.80082	-92.615	-92.109	1.6303	0.47631	1.2110	675.65	-0.021925	143.25	0.097496	0.0073790	0.031645	31.601	28.843	48.786	2.9205	0.36157	0.70362	182.78	2.1334	9.2805	0.0076380
109.30	6.3530	1.2480	0.80129	-92.496	-91.987	1.6314	0.47610	1.2118	674.85	-0.021796	142.90	0.097360	0.0073568	0.031847	31.400	28.845	48.794	2.9194	0.36179	0.70467	182.81	2.1296	9.2912	0.0076496
109.40	6.3952	1.2472	0.80177	-92.377	-91.865	1.6324	0.47590	1.2126	674.04	-0.021666	142.54	0.097224	0.0073346	0.032049	31.202	28.847	48.801	2.9182	0.36200	0.70573	182.84	2.1258	9.3019	0.0076612
109.50	6.4376	1.2465	0.80225	-92.259	-91.742	1.6335	0.47569	1.2134	673.24	-0.021536	142.19	0.097088	0.0073124	0.032253	31.005	28.848	48.808	2.9171	0.36222	0.70680	182.87	2.1221	9.3126	0.0076729
109.60	6.4802	1.2458	0.80273	-92.140	-91.620	1.6346	0.47549	1.2142	672.43	-0.021405	141.84	0.096952	0.0072902	0.032458	30.809	28.850	48.815	2.9159	0.36244	0.70788	182.91	2.1183	9.3233	0.0076846
109.70	6.5230	1.2450	0.80321	-92.021	-91.497	1.6357	0.47529	1.2151	671.63	-0.021273	141.49	0.096816	0.0072680	0.032664	30.615	28.851	48.821	2.9148	0.36265	0.70896	182.94	2.1146	9.3340	0.0076964
109.80	6.5660	1.2443	0.80369	-91.902	-91.375	1.6368	0.47508	1.2159	670.82	-0.021141	141.14	0.096680	0.0072458	0.032871	30.422	28.853	48.828	2.9137	0.36287	0.71004	182.97	2.1108	9.3448	0.0077082
109.90	6.6092	1.2435	0.80417	-91.783	-91.252	1.6379	0.47488	1.2167	670.01	-0.021008	140.80	0.096545	0.0072237	0.033078	30.231	28.854	48.834	2.9125	0.36309	0.71113	183.00	2.1071	9.3555	0.0077200
