Temperature (K)	Pressure (bar)	Density (l, g/ml)	Volume (l, ml/g)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, g/ml)	Volume (v, ml/g)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
124.00	15.028	1.1272	0.88715	-74.227	-72.893	1.7888	0.45291	1.4039	547.36	0.0066053	100.01	0.077983	0.0042509	0.075008	13.332	27.521	47.557	2.7601	0.40269	0.95720	185.29	1.6461	11.083	0.0099187
124.10	15.106	1.1263	0.88788	-74.095	-72.754	1.7898	0.45281	1.4059	546.41	0.0068888	99.762	0.077855	0.0042310	0.075418	13.259	27.499	47.529	2.7591	0.40306	0.95995	185.29	1.6432	11.097	0.0099399
124.20	15.185	1.1254	0.88861	-73.963	-72.614	1.7909	0.45272	1.4080	545.47	0.0071741	99.516	0.077728	0.0042111	0.075829	13.188	27.477	47.502	2.7580	0.40342	0.96272	185.29	1.6402	11.112	0.0099613
124.30	15.264	1.1244	0.88934	-73.831	-72.474	1.7920	0.45262	1.4101	544.52	0.0074610	99.271	0.077601	0.0041913	0.076243	13.116	27.454	47.474	2.7570	0.40379	0.96552	185.29	1.6373	11.126	0.0099827
124.40	15.343	1.1235	0.89008	-73.699	-72.333	1.7931	0.45253	1.4122	543.57	0.0077498	99.026	0.077473	0.0041714	0.076658	13.045	27.431	47.445	2.7559	0.40415	0.96833	185.28	1.6344	11.141	0.010004
124.50	15.422	1.1226	0.89082	-73.567	-72.193	1.7941	0.45243	1.4144	542.61	0.0080403	98.782	0.077346	0.0041516	0.077076	12.974	27.407	47.417	2.7548	0.40452	0.97117	185.28	1.6314	11.155	0.010026
124.60	15.502	1.1216	0.89156	-73.434	-72.052	1.7952	0.45234	1.4165	541.66	0.0083326	98.538	0.077219	0.0041318	0.077495	12.904	27.384	47.388	2.7538	0.40489	0.97403	185.28	1.6285	11.170	0.010048
124.70	15.582	1.1207	0.89230	-73.302	-71.911	1.7963	0.45225	1.4187	540.71	0.0086267	98.294	0.077092	0.0041120	0.077917	12.834	27.360	47.358	2.7527	0.40526	0.97692	185.28	1.6255	11.184	0.010070
124.80	15.662	1.1198	0.89305	-73.169	-71.770	1.7973	0.45216	1.4209	539.75	0.0089226	98.051	0.076965	0.0040922	0.078340	12.765	27.336	47.329	2.7517	0.40563	0.97982	185.28	1.6226	11.199	0.010092
124.90	15.742	1.1188	0.89380	-73.036	-71.629	1.7984	0.45207	1.4231	538.79	0.0092203	97.808	0.076838	0.0040725	0.078766	12.696	27.312	47.299	2.7506	0.40601	0.98275	185.28	1.6197	11.214	0.010114
125.00	15.823	1.1179	0.89455	-72.903	-71.488	1.7995	0.45198	1.4253	537.83	0.0095199	97.565	0.076711	0.0040527	0.079194	12.627	27.288	47.268	2.7495	0.40638	0.98571	185.28	1.6167	11.228	0.010136
125.10	15.904	1.1169	0.89531	-72.770	-71.346	1.8006	0.45189	1.4275	536.87	0.0098214	97.323	0.076584	0.0040330	0.079624	12.559	27.263	47.238	2.7485	0.40676	0.98869	185.27	1.6138	11.243	0.010159
125.20	15.986	1.1160	0.89606	-72.637	-71.205	1.8016	0.45180	1.4298	535.91	0.010125	97.081	0.076458	0.0040133	0.080056	12.491	27.238	47.207	2.7474	0.40714	0.99169	185.27	1.6109	11.258	0.010181
125.30	16.068	1.1150	0.89682	-72.504	-71.063	1.8027	0.45172	1.4321	534.95	0.010430	96.840	0.076331	0.0039937	0.080490	12.424	27.213	47.175	2.7464	0.40752	0.99472	185.27	1.6079	11.273	0.010204
125.40	16.150	1.1141	0.89759	-72.370	-70.921	1.8038	0.45164	1.4344	533.98	0.010737	96.599	0.076204	0.0039740	0.080926	12.357	27.188	47.144	2.7453	0.40791	0.99778	185.27	1.6050	11.288	0.010227
125.50	16.232	1.1131	0.89835	-72.237	-70.779	1.8049	0.45155	1.4367	533.02	0.011046	96.358	0.076078	0.0039544	0.081365	12.290	27.162	47.112	2.7442	0.40829	1.0009	185.26	1.6021	11.303	0.010250
125.60	16.314	1.1122	0.89912	-72.103	-70.636	1.8059	0.45147	1.4390	532.05	0.011357	96.118	0.075951	0.0039348	0.081805	12.224	27.136	47.079	2.7432	0.40868	1.0040	185.26	1.5992	11.318	0.010273
125.70	16.397	1.1112	0.89989	-71.969	-70.493	1.8070	0.45139	1.4413	531.08	0.011671	95.878	0.075825	0.0039152	0.082248	12.158	27.110	47.047	2.7421	0.40906	1.0071	185.25	1.5963	11.333	0.010296
125.80	16.481	1.1103	0.90067	-71.835	-70.351	1.8081	0.45131	1.4437	530.11	0.011986	95.639	0.075698	0.0038956	0.082693	12.093	27.084	47.014	2.7410	0.40945	1.0102	185.25	1.5933	11.348	0.010320
125.90	16.564	1.1093	0.90145	-71.701	-70.208	1.8092	0.45123	1.4461	529.14	0.012303	95.399	0.075572	0.0038760	0.083140	12.028	27.057	46.981	2.7400	0.40984	1.0134	185.25	1.5904	11.363	0.010343
126.00	16.648	1.1084	0.90223	-71.566	-70.064	1.8102	0.45116	1.4485	528.16	0.012622	95.161	0.075445	0.0038565	0.083590	11.963	27.031	46.947	2.7389	0.41024	1.0166	185.24	1.5875	11.378	0.010367
126.10	16.732	1.1074	0.90301	-71.432	-69.921	1.8113	0.45108	1.4509	527.19	0.012943	94.922	0.075319	0.0038370	0.084041	11.899	27.004	46.913	2.7378	0.41063	1.0199	185.24	1.5846	11.394	0.010391
126.20	16.816	1.1064	0.90380	-71.297	-69.777	1.8124	0.45101	1.4534	526.21	0.013266	94.684	0.075193	0.0038175	0.084495	11.835	26.976	46.878	2.7368	0.41103	1.0231	185.23	1.5817	11.409	0.010414
126.30	16.901	1.1055	0.90459	-71.162	-69.634	1.8135	0.45093	1.4558	525.23	0.013591	94.446	0.075067	0.0037980	0.084951	11.771	26.949	46.844	2.7357	0.41142	1.0264	185.23	1.5788	11.424	0.010439
126.40	16.986	1.1045	0.90538	-71.027	-69.490	1.8146	0.45086	1.4583	524.26	0.013919	94.209	0.074941	0.0037785	0.085410	11.708	26.921	46.809	2.7346	0.41182	1.0298	185.22	1.5759	11.440	0.010463
126.50	17.071	1.1035	0.90618	-70.892	-69.345	1.8156	0.45079	1.4608	523.27	0.014248	93.972	0.074815	0.0037591	0.085870	11.645	26.893	46.773	2.7336	0.41222	1.0331	185.21	1.5730	11.455	0.010487
126.60	17.157	1.1026	0.90698	-70.757	-69.201	1.8167	0.45072	1.4634	522.29	0.014580	93.735	0.074688	0.0037397	0.086333	11.583	26.864	46.738	2.7325	0.41263	1.0365	185.21	1.5701	11.471	0.010512
126.70	17.243	1.1016	0.90778	-70.622	-69.056	1.8178	0.45065	1.4659	521.31	0.014914	93.498	0.074563	0.0037203	0.086799	11.521	26.836	46.701	2.7314	0.41303	1.0399	185.20	1.5672	11.486	0.010536
126.80	17.329	1.1006	0.90859	-70.486	-68.912	1.8189	0.45059	1.4685	520.32	0.015250	93.262	0.074437	0.0037009	0.087266	11.459	26.807	46.665	2.7304	0.41344	1.0433	185.20	1.5643	11.502	0.010561
126.90	17.416	1.0996	0.90940	-70.350	-68.766	1.8200	0.45052	1.4711	519.33	0.015588	93.027	0.074311	0.0036816	0.087736	11.398	26.778	46.628	2.7293	0.41385	1.0468	185.19	1.5614	11.518	0.010586
127.00	17.503	1.0987	0.91021	-70.214	-68.621	1.8210	0.45046	1.4737	518.34	0.015928	92.791	0.074185	0.0036622	0.088209	11.337	26.749	46.591	2.7282	0.41426	1.0503	185.18	1.5585	11.533	0.010611
127.10	17.590	1.0977	0.91102	-70.078	-68.476	1.8221	0.45039	1.4763	517.35	0.016271	92.556	0.074059	0.0036429	0.088683	11.276	26.719	46.553	2.7272	0.41467	1.0538	185.17	1.5556	11.549	0.010637
127.20	17.677	1.0967	0.91184	-69.942	-68.330	1.8232	0.45033	1.4790	516.36	0.016616	92.321	0.073933	0.0036236	0.089161	11.216	26.689	46.515	2.7261	0.41508	1.0574	185.17	1.5527	11.565	0.010662
127.30	17.765	1.0957	0.91266	-69.806	-68.184	1.8243	0.45027	1.4816	515.37	0.016963	92.087	0.073808	0.0036043	0.089640	11.156	26.659	46.477	2.7250	0.41550	1.0610	185.16	1.5498	11.581	0.010688
127.40	17.853	1.0947	0.91349	-69.669	-68.038	1.8254	0.45021	1.4843	514.37	0.017312	91.852	0.073682	0.0035851	0.090122	11.096	26.628	46.438	2.7239	0.41592	1.0646	185.15	1.5469	11.597	0.010714
127.50	17.942	1.0937	0.91432	-69.532	-67.892	1.8265	0.45016	1.4871	513.38	0.017664	91.618	0.073557	0.0035658	0.090607	11.037	26.598	46.399	2.7229	0.41633	1.0683	185.14	1.5440	11.613	0.010739
127.60	18.030	1.0927	0.91515	-69.396	-67.746	1.8275	0.45010	1.4898	512.38	0.018018	91.385	0.073431	0.0035466	0.091093	10.978	26.567	46.360	2.7218	0.41676	1.0720	185.13	1.5411	11.629	0.010766
127.70	18.119	1.0917	0.91599	-69.259	-67.599	1.8286	0.45004	1.4926	511.38	0.018375	91.151	0.073306	0.0035274	0.091583	10.919	26.535	46.320	2.7207	0.41718	1.0757	185.12	1.5382	11.645	0.010792
127.80	18.209	1.0907	0.91682	-69.121	-67.452	1.8297	0.44999	1.4954	510.37	0.018734	90.918	0.073180	0.0035083	0.092075	10.861	26.504	46.280	2.7196	0.41760	1.0795	185.11	1.5353	11.661	0.010818
127.90	18.298	1.0897	0.91767	-68.984	-67.305	1.8308	0.44994	1.4982	509.37	0.019095	90.686	0.073055	0.0034891	0.092569	10.803	26.472	46.239	2.7186	0.41803	1.0832	185.11	1.5324	11.677	0.010845
128.00	18.388	1.0887	0.91851	-68.846	-67.157	1.8319	0.44989	1.5011	508.36	0.019459	90.453	0.072930	0.0034700	0.093066	10.745	26.440	46.198	2.7175	0.41846	1.0871	185.10	1.5295	11.694	0.010872
128.10	18.479	1.0877	0.91936	-68.709	-67.010	1.8330	0.44984	1.5039	507.36	0.019825	90.221	0.072804	0.0034509	0.093565	10.688	26.408	46.157	2.7164	0.41889	1.0909	185.09	1.5266	11.710	0.010899
128.20	18.569	1.0867	0.92021	-68.571	-66.862	1.8341	0.44979	1.5068	506.35	0.020194	89.989	0.072679	0.0034318	0.094067	10.631	26.375	46.115	2.7153	0.41932	1.0948	185.08	1.5237	11.726	0.010926
128.30	18.660	1.0857	0.92107	-68.433	-66.714	1.8352	0.44975	1.5098	505.34	0.020565	89.757	0.072554	0.0034127	0.094572	10.574	26.342	46.073	2.7142	0.41976	1.0988	185.06	1.5209	11.743	0.010953
128.40	18.751	1.0847	0.92193	-68.294	-66.566	1.8362	0.44970	1.5127	504.33	0.020939	89.526	0.072429	0.0033937	0.095079	10.518	26.309	46.031	2.7132	0.42019	1.1027	185.05	1.5180	11.759	0.010981
128.50	18.843	1.0837	0.92280	-68.156	-66.417	1.8373	0.44966	1.5157	503.31	0.021315	89.295	0.072304	0.0033747	0.095589	10.462	26.275	45.988	2.7121	0.42063	1.1067	185.04	1.5151	11.776	0.011009
128.60	18.935	1.0826	0.92366	-68.017	-66.268	1.8384	0.44962	1.5187	502.30	0.021694	89.064	0.072179	0.0033557	0.096101	10.406	26.242	45.945	2.7110	0.42107	1.1108	185.03	1.5122	11.793	0.011036
128.70	19.027	1.0816	0.92453	-67.879	-66.120	1.8395	0.44958	1.5217	501.28	0.022076	88.834	0.072054	0.0033367	0.096616	10.350	26.208	45.901	2.7099	0.42151	1.1149	185.02	1.5093	11.809	0.011064
128.80	19.119	1.0806	0.92541	-67.740	-65.970	1.8406	0.44954	1.5248	500.26	0.022460	88.603	0.071929	0.0033177	0.097134	10.295	26.173	45.857	2.7088	0.42196	1.1190	185.01	1.5064	11.826	0.011093
128.90	19.212	1.0796	0.92629	-67.601	-65.821	1.8417	0.44950	1.5279	499.24	0.022847	88.373	0.071804	0.0032988	0.097654	10.240	26.139	45.812	2.7077	0.42241	1.1232	185.00	1.5036	11.843	0.011121
129.00	19.305	1.0786	0.92717	-67.461	-65.671	1.8428	0.44947	1.5310	498.21	0.023236	88.143	0.071679	0.0032799	0.098177	10.186	26.104	45.767	2.7067	0.42285	1.1274	184.98	1.5007	11.860	0.011150
129.10	19.399	1.0775	0.92806	-67.322	-65.521	1.8439	0.44943	1.5341	497.19	0.023628	87.914	0.071554	0.0032610	0.098703	10.131	26.068	45.722	2.7056	0.42330	1.1316	184.97	1.4978	11.877	0.011179
129.20	19.493	1.0765	0.92895	-67.182	-65.371	1.8450	0.44940	1.5373	496.16	0.024023	87.685	0.071429	0.0032421	0.099231	10.077	26.033	45.676	2.7045	0.42376	1.1359	184.96	1.4949	11.894	0.011208
129.30	19.587	1.0755	0.92984	-67.042	-65.221	1.8461	0.44937	1.5405	495.13	0.024421	87.456	0.071305	0.0032233	0.099763	10.024	25.997	45.630	2.7034	0.42421	1.1402	184.95	1.4920	11.911	0.011237
129.40	19.681	1.0744	0.93074	-66.902	-65.070	1.8472	0.44934	1.5438	494.10	0.024822	87.227	0.071180	0.0032044	0.10030	9.9704	25.961	45.584	2.7023	0.42467	1.1446	184.93	1.4891	11.928	0.011267
129.50	19.776	1.0734	0.93164	-66.762	-64.919	1.8483	0.44931	1.5470	493.07	0.025225	86.998	0.071055	0.0031856	0.10083	9.9173	25.924	45.537	2.7012	0.42513	1.1490	184.92	1.4863	11.945	0.011296
129.60	19.871	1.0723	0.93255	-66.621	-64.768	1.8494	0.44929	1.5503	492.04	0.025632	86.770	0.070931	0.0031668	0.10137	9.8645	25.887	45.489	2.7001	0.42559	1.1534	184.90	1.4834	11.963	0.011326
129.70	19.966	1.0713	0.93346	-66.481	-64.617	1.8505	0.44926	1.5537	491.00	0.026041	86.542	0.070806	0.0031481	0.10192	9.8120	25.850	45.441	2.6990	0.42605	1.1579	184.89	1.4805	11.980	0.011356
129.80	20.062	1.0702	0.93437	-66.340	-64.465	1.8516	0.44924	1.5570	489.96	0.026453	86.314	0.070681	0.0031293	0.10246	9.7598	25.813	45.393	2.6979	0.42652	1.1625	184.88	1.4776	11.997	0.011386
129.90	20.158	1.0692	0.93529	-66.199	-64.313	1.8527	0.44922	1.5604	488.93	0.026868	86.086	0.070557	0.0031106	0.10301	9.7078	25.775	45.344	2.6968	0.42698	1.1671	184.86	1.4747	12.015	0.011417
130.00	20.255	1.0681	0.93621	-66.057	-64.161	1.8538	0.44920	1.5638	487.88	0.027286	85.859	0.070432	0.0030919	0.10356	9.6561	25.737	45.295	2.6957	0.42745	1.1717	184.85	1.4719	12.032	0.011448
130.10	20.351	1.0671	0.93714	-65.916	-64.009	1.8549	0.44918	1.5673	486.84	0.027707	85.631	0.070308	0.0030733	0.10412	9.6047	25.699	45.246	2.6946	0.42793	1.1764	184.83	1.4690	12.050	0.011479
130.20	20.448	1.0660	0.93807	-65.774	-63.856	1.8560	0.44917	1.5708	485.79	0.028131	85.404	0.070184	0.0030546	0.10467	9.5536	25.660	45.196	2.6936	0.42840	1.1811	184.82	1.4661	12.068	0.011510
130.30	20.546	1.0650	0.93901	-65.632	-63.703	1.8571	0.44915	1.5743	484.75	0.028558	85.177	0.070059	0.0030360	0.10523	9.5028	25.621	45.145	2.6925	0.42888	1.1859	184.80	1.4632	12.086	0.011541
130.40	20.643	1.0639	0.93995	-65.490	-63.550	1.8582	0.44914	1.5779	483.70	0.028989	84.951	0.069935	0.0030174	0.10580	9.4522	25.582	45.094	2.6914	0.42935	1.1907	184.78	1.4603	12.103	0.011573
130.50	20.742	1.0628	0.94089	-65.348	-63.397	1.8593	0.44913	1.5815	482.65	0.029422	84.724	0.069811	0.0029988	0.10636	9.4019	25.542	45.043	2.6902	0.42984	1.1956	184.77	1.4575	12.121	0.011605
130.60	20.840	1.0618	0.94184	-65.206	-63.243	1.8604	0.44912	1.5851	481.59	0.029859	84.498	0.069686	0.0029802	0.10693	9.3519	25.502	44.991	2.6891	0.43032	1.2005	184.75	1.4546	12.139	0.011637
130.70	20.939	1.0607	0.94279	-65.063	-63.089	1.8615	0.44912	1.5888	480.54	0.030298	84.272	0.069562	0.0029617	0.10750	9.3021	25.462	44.939	2.6880	0.43080	1.2055	184.73	1.4517	12.157	0.011669
130.80	21.038	1.0596	0.94375	-64.920	-62.935	1.8626	0.44911	1.5925	479.48	0.030741	84.046	0.069438	0.0029432	0.10808	9.2526	25.421	44.886	2.6869	0.43129	1.2105	184.72	1.4488	12.176	0.011702
130.90	21.137	1.0585	0.94471	-64.777	-62.780	1.8637	0.44911	1.5962	478.42	0.031188	83.821	0.069314	0.0029247	0.10866	9.2033	25.380	44.833	2.6858	0.43178	1.2156	184.70	1.4459	12.194	0.011735
131.00	21.237	1.0574	0.94568	-64.634	-62.625	1.8648	0.44911	1.6000	477.36	0.031637	83.595	0.069190	0.0029062	0.10924	9.1543	25.339	44.779	2.6847	0.43227	1.2207	184.68	1.4430	12.212	0.011768
131.10	21.337	1.0564	0.94665	-64.490	-62.470	1.8659	0.44911	1.6038	476.30	0.032090	83.370	0.069066	0.0028878	0.10982	9.1056	25.297	44.725	2.6836	0.43277	1.2259	184.66	1.4401	12.230	0.011801
131.20	21.437	1.0553	0.94762	-64.346	-62.315	1.8671	0.44911	1.6077	475.23	0.032547	83.145	0.068942	0.0028694	0.11041	9.0571	25.255	44.671	2.6825	0.43327	1.2311	184.65	1.4373	12.249	0.011835
131.30	21.538	1.0542	0.94860	-64.202	-62.159	1.8682	0.44912	1.6116	474.16	0.033007	82.920	0.068817	0.0028510	0.11100	9.0089	25.212	44.616	2.6814	0.43377	1.2364	184.63	1.4344	12.267	0.011869
131.40	21.639	1.0531	0.94959	-64.058	-62.003	1.8693	0.44912	1.6155	473.09	0.033470	82.695	0.068693	0.0028326	0.11160	8.9609	25.170	44.560	2.6803	0.43427	1.2418	184.61	1.4315	12.286	0.011903
131.50	21.740	1.0520	0.95058	-63.914	-61.847	1.8704	0.44913	1.6195	472.02	0.033937	82.470	0.068569	0.0028143	0.11219	8.9132	25.127	44.504	2.6792	0.43477	1.2472	184.59	1.4286	12.305	0.011937
131.60	21.842	1.0509	0.95157	-63.769	-61.691	1.8715	0.44914	1.6235	470.95	0.034407	82.246	0.068446	0.0027959	0.11279	8.8657	25.083	44.448	2.6780	0.43528	1.2526	184.57	1.4257	12.324	0.011972
131.70	21.944	1.0498	0.95257	-63.624	-61.534	1.8726	0.44916	1.6275	469.87	0.034881	82.022	0.068322	0.0027776	0.11340	8.8185	25.039	44.391	2.6769	0.43579	1.2582	184.55	1.4228	12.342	0.012007
131.80	22.047	1.0487	0.95358	-63.479	-61.377	1.8738	0.44917	1.6316	468.79	0.035358	81.798	0.068198	0.0027594	0.11401	8.7715	24.995	44.333	2.6758	0.43631	1.2638	184.53	1.4199	12.361	0.012042
131.90	22.149	1.0476	0.95459	-63.334	-61.219	1.8749	0.44919	1.6358	467.71	0.035839	81.574	0.068074	0.0027411	0.11462	8.7247	24.951	44.275	2.6747	0.43682	1.2694	184.51	1.4170	12.380	0.012077
132.00	22.252	1.0465	0.95560	-63.188	-61.062	1.8760	0.44921	1.6400	466.63	0.036324	81.350	0.067950	0.0027229	0.11523	8.6782	24.906	44.217	2.6736	0.43734	1.2751	184.49	1.4141	12.400	0.012113
132.10	22.356	1.0453	0.95662	-63.042	-60.904	1.8771	0.44923	1.6442	465.55	0.036813	81.126	0.067826	0.0027047	0.11585	8.6319	24.860	44.158	2.6724	0.43786	1.2809	184.47	1.4112	12.419	0.012149
132.20	22.460	1.0442	0.95764	-62.896	-60.745	1.8782	0.44925	1.6485	464.46	0.037305	80.903	0.067702	0.0026865	0.11647	8.5859	24.815	44.098	2.6713	0.43838	1.2868	184.45	1.4083	12.438	0.012185
132.30	22.564	1.0431	0.95867	-62.750	-60.587	1.8794	0.44928	1.6528	463.37	0.037801	80.679	0.067579	0.0026684	0.11709	8.5401	24.769	44.038	2.6702	0.43891	1.2927	184.43	1.4054	12.457	0.012222
132.40	22.668	1.0420	0.95971	-62.603	-60.428	1.8805	0.44931	1.6572	462.28	0.038302	80.456	0.067455	0.0026502	0.11772	8.4945	24.722	43.978	2.6690	0.43944	1.2986	184.41	1.4025	12.477	0.012259
132.50	22.773	1.0409	0.96075	-62.456	-60.269	1.8816	0.44934	1.6616	461.19	0.038805	80.233	0.067331	0.0026321	0.11835	8.4492	24.675	43.917	2.6679	0.43997	1.3047	184.38	1.3996	12.496	0.012296
132.60	22.878	1.0397	0.96180	-62.309	-60.109	1.8827	0.44937	1.6661	460.09	0.039313	80.010	0.067207	0.0026141	0.11899	8.4041	24.628	43.855	2.6668	0.44051	1.3108	184.36	1.3967	12.516	0.012333
132.70	22.984	1.0386	0.96285	-62.162	-59.949	1.8839	0.44940	1.6706	458.99	0.039825	79.787	0.067084	0.0025960	0.11963	8.3592	24.581	43.793	2.6656	0.44105	1.3170	184.34	1.3938	12.536	0.012371
132.80	23.090	1.0374	0.96390	-62.015	-59.789	1.8850	0.44944	1.6752	457.89	0.040341	79.564	0.066960	0.0025780	0.12027	8.3145	24.533	43.731	2.6645	0.44159	1.3232	184.32	1.3909	12.556	0.012409
132.90	23.196	1.0363	0.96497	-61.867	-59.628	1.8861	0.44948	1.6798	456.79	0.040861	79.342	0.066836	0.0025600	0.12092	8.2701	24.484	43.667	2.6634	0.44213	1.3296	184.29	1.3880	12.576	0.012448
133.00	23.303	1.0352	0.96603	-61.719	-59.468	1.8873	0.44952	1.6845	455.69	0.041386	79.119	0.066713	0.0025420	0.12157	8.2259	24.435	43.604	2.6622	0.44268	1.3360	184.27	1.3851	12.596	0.012487
133.10	23.409	1.0340	0.96711	-61.570	-59.306	1.8884	0.44956	1.6892	454.58	0.041914	78.897	0.066589	0.0025240	0.12222	8.1819	24.386	43.540	2.6611	0.44323	1.3425	184.25	1.3822	12.616	0.012526
133.20	23.517	1.0329	0.96819	-61.422	-59.145	1.8895	0.44961	1.6940	453.47	0.042447	78.675	0.066466	0.0025061	0.12288	8.1381	24.337	43.475	2.6599	0.44379	1.3490	184.22	1.3793	12.636	0.012565
133.30	23.624	1.0317	0.96927	-61.273	-58.983	1.8907	0.44965	1.6988	452.36	0.042984	78.453	0.066342	0.0024882	0.12354	8.0946	24.287	43.410	2.6588	0.44434	1.3557	184.20	1.3763	12.656	0.012605
133.40	23.732	1.0305	0.97036	-61.124	-58.821	1.8918	0.44970	1.7037	451.25	0.043525	78.231	0.066218	0.0024703	0.12420	8.0512	24.236	43.344	2.6577	0.44490	1.3624	184.18	1.3734	12.677	0.012645
133.50	23.841	1.0294	0.97146	-60.974	-58.658	1.8929	0.44976	1.7086	450.13	0.044071	78.009	0.066095	0.0024525	0.12487	8.0081	24.185	43.277	2.6565	0.44547	1.3692	184.15	1.3705	12.697	0.012685
133.60	23.949	1.0282	0.97256	-60.825	-58.495	1.8941	0.44981	1.7136	449.01	0.044621	77.787	0.065971	0.0024347	0.12555	7.9652	24.134	43.210	2.6554	0.44604	1.3761	184.12	1.3676	12.718	0.012726
133.70	24.058	1.0270	0.97367	-60.675	-58.332	1.8952	0.44987	1.7187	447.89	0.045176	77.565	0.065848	0.0024169	0.12622	7.9225	24.082	43.143	2.6542	0.44661	1.3830	184.10	1.3646	12.739	0.012767
133.80	24.168	1.0259	0.97479	-60.525	-58.169	1.8964	0.44993	1.7238	446.77	0.045735	77.343	0.065724	0.0023991	0.12690	7.8800	24.030	43.075	2.6530	0.44718	1.3901	184.07	1.3617	12.760	0.012809
133.90	24.278	1.0247	0.97591	-60.374	-58.005	1.8975	0.44999	1.7290	445.64	0.046299	77.122	0.065601	0.0023814	0.12759	7.8377	23.978	43.006	2.6519	0.44776	1.3972	184.05	1.3588	12.780	0.012851
134.00	24.388	1.0235	0.97703	-60.223	-57.841	1.8987	0.45006	1.7342	444.51	0.046867	76.900	0.065477	0.0023636	0.12828	7.7956	23.925	42.937	2.6507	0.44835	1.4045	184.02	1.3558	12.801	0.012893
134.10	24.498	1.0223	0.97817	-60.072	-57.676	1.8998	0.45013	1.7396	443.38	0.047441	76.679	0.065354	0.0023459	0.12897	7.7538	23.871	42.867	2.6496	0.44893	1.4118	183.99	1.3529	12.823	0.012936
134.20	24.609	1.0211	0.97931	-59.921	-57.511	1.9010	0.45020	1.7449	442.25	0.048019	76.458	0.065230	0.0023283	0.12967	7.7121	23.818	42.796	2.6484	0.44952	1.4192	183.97	1.3499	12.844	0.012979
134.30	24.720	1.0199	0.98045	-59.769	-57.345	1.9021	0.45027	1.7504	441.12	0.048602	76.236	0.065107	0.0023106	0.13037	7.6706	23.763	42.725	2.6472	0.45012	1.4267	183.94	1.3470	12.865	0.013022
134.40	24.832	1.0187	0.98161	-59.617	-57.180	1.9033	0.45034	1.7558	439.98	0.049190	76.015	0.064983	0.0022930	0.13107	7.6293	23.709	42.654	2.6461	0.45072	1.4343	183.91	1.3440	12.887	0.013066
134.50	24.944	1.0175	0.98277	-59.465	-57.014	1.9044	0.45042	1.7614	438.84	0.049782	75.794	0.064860	0.0022754	0.13178	7.5883	23.653	42.581	2.6449	0.45132	1.4421	183.88	1.3411	12.908	0.013110
134.60	25.056	1.0163	0.98393	-59.312	-56.847	1.9056	0.45050	1.7670	437.69	0.050380	75.573	0.064737	0.0022579	0.13250	7.5474	23.598	42.508	2.6437	0.45193	1.4499	183.85	1.3381	12.930	0.013154
134.70	25.169	1.0151	0.98511	-59.160	-56.680	1.9067	0.45059	1.7728	436.55	0.050983	75.352	0.064613	0.0022403	0.13321	7.5067	23.542	42.435	2.6425	0.45254	1.4578	183.82	1.3351	12.952	0.013199
134.80	25.282	1.0139	0.98629	-59.006	-56.513	1.9079	0.45067	1.7785	435.40	0.051591	75.131	0.064490	0.0022228	0.13394	7.4662	23.485	42.361	2.6414	0.45315	1.4658	183.80	1.3322	12.974	0.013245
134.90	25.395	1.0127	0.98747	-58.853	-56.345	1.9090	0.45076	1.7844	434.25	0.052205	74.910	0.064366	0.0022054	0.13466	7.4259	23.428	42.286	2.6402	0.45377	1.4739	183.77	1.3292	12.996	0.013291
135.00	25.509	1.0115	0.98867	-58.699	-56.177	1.9102	0.45085	1.7903	433.10	0.052823	74.689	0.064243	0.0021879	0.13539	7.3858	23.370	42.211	2.6390	0.45440	1.4822	183.74	1.3262	13.018	0.013337
135.10	25.623	1.0102	0.98987	-58.545	-56.009	1.9114	0.45095	1.7963	431.94	0.053447	74.468	0.064119	0.0021705	0.13613	7.3459	23.312	42.135	2.6378	0.45503	1.4905	183.70	1.3232	13.040	0.013384
135.20	25.737	1.0090	0.99107	-58.391	-55.840	1.9125	0.45104	1.8024	430.78	0.054077	74.247	0.063996	0.0021531	0.13687	7.3061	23.254	42.058	2.6366	0.45566	1.4990	183.67	1.3202	13.063	0.013431
135.30	25.852	1.0078	0.99229	-58.236	-55.671	1.9137	0.45114	1.8085	429.62	0.054712	74.027	0.063872	0.0021357	0.13762	7.2666	23.195	41.980	2.6354	0.45630	1.5075	183.64	1.3172	13.085	0.013478
135.40	25.967	1.0065	0.99351	-58.081	-55.501	1.9149	0.45125	1.8147	428.46	0.055353	73.806	0.063749	0.0021184	0.13837	7.2272	23.135	41.902	2.6342	0.45695	1.5162	183.61	1.3143	13.108	0.013526
